index,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
15161,1,-1,1,1,1,-1,0,0,-1,1,1,1,1,-1,0,-1,1,1,0,1,1,1,1,1,-1,-1,-1,-1,0,1,-1
19610,-1,-1,1,1,1,-1,0,-1,-1,1,1,-1,1,0,-1,-1,1,1,0,1,1,1,1,1,1,1,-1,-1,0,1,-1
15189,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
12888,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,-1,1,1,1,1,0,1,1
10864,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,0,-1,1,1,0,1,1,1,1,1,1,0,-1,1,0,1,-1
3245,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,0,0,-1,1,1,0,1,1,-1,1,1,1,0,-1,-1,0,1,1
17723,-1,1,1,-1,1,-1,0,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,0,-1,1,-1,-1,1,1,1,-1,1,1,1,1
847,1,-1,1,1,1,-1,1,1,1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
4975,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,1
182,-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,0,0,-1,1,-1,0,1,1,1,1,1,-1,1,-1,1,-1,-1,1
3338,-1,-1,-1,1,-1,-1,0,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1
4127,1,1,1,-1,1,-1,0,-1,-1,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,0,1,-1
8403,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,0,-1,-1,1,-1,1,1,1,1,1,1,-1,0,-1,1,1,1,1
9735,1,-1,1,1,1,-1,0,-1,1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,-1
9528,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,0,1,1,-1,1,1,1,0,-1,-1,0,1,-1
3191,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,1,-1
11732,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,0,1,1,1,1,-1,-1,1,-1,1,1,-1,-1
20821,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,0,-1,1,1,1,0,1,1,1,1,1,1,-1,-1,1,0,1,-1
6274,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,-1,-1,1,-1,0,1,1,1,1,1,-1,1,-1,-1,1,1,1
7892,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
12518,1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,0,0,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,0,1,1
16675,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,0,1,-1,1,1,0,1,1,1,1,-1,1,1,-1,1,1,1,1
13974,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,0,-1,1
2647,1,1,1,1,1,-1,0,0,-1,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,1,1,-1,-1,1,0,1,-1
14879,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,0,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
15348,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,0,0,-1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1
7272,-1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,0,0,-1,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1
9112,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,-1
14971,1,-1,1,1,1,-1,0,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,-1,1,1,1,1,0,1,1
19742,-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,0,-1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1
14322,-1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,0,-1,1,1,1,1,1,1,1,1,-1,-1,0,-1,1,1,1,-1
5172,-1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,0,-1,-1,1,1,0,-1,-1,-1,-1,1,1,1,-1,1,1,1,1
22105,1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,0,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1
21677,-1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,1,1,1,0,-1,1,0,-1,-1
7386,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,0,0,1,1,0,1,1,1,1,1,1,-1,-1,1,0,1,-1
16465,-1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,1
16829,-1,-1,1,1,1,-1,0,0,-1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,-1
21605,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,0,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,0,1,1
12764,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,0,1,-1
20370,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,0,-1,1,-1,-1,0,1,1,1,1,1,-1,1,-1,1,-1,1,1
19763,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,0,-1,1,1,0,1,1,1,1,1,1,1,-1,-1,1,1,-1
20260,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,0,0,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1
10977,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1
12692,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,1,1,0,-1,1,0,1,1
6144,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1
15749,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,-1,0,-1,1,1,-1,-1
7001,-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,0,1,1,1,1,-1,-1,1,-1,-1,1,1,1
4829,1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,1,-1
14699,1,1,1,1,1,-1,0,0,-1,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,1,-1,0,-1,1,1,1,-1
21834,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1
9244,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,0,-1,1,-1,1,1,1,1,1,-1,-1,0,-1,1,1,1,1
450,1,-1,1,1,1,-1,0,1,1,1,1,1,-1,0,1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1
21924,-1,-1,1,1,1,-1,0,1,1,-1,1,1,-1,0,0,1,1,1,0,1,1,-1,1,1,1,1,-1,1,1,1,1
8823,1,-1,1,1,1,-1,1,-1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,1,1,0,-1,-1,0,1,-1
3060,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,0,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1
17304,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,-1,1,1,-1,1,0,1,1
18460,1,-1,1,1,1,-1,0,1,-1,1,1,1,-1,0,0,-1,1,1,0,1,1,1,1,-1,1,0,1,1,0,1,-1
7337,-1,-1,1,1,1,-1,0,-1,-1,1,1,1,-1,-1,0,-1,1,1,0,1,1,-1,1,-1,1,0,-1,1,1,1,-1
11667,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,0,-1,1,1,0,1,1,1,1,-1,1,-1,-1,1,0,1,-1
20940,1,1,1,1,1,-1,1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
8161,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,1,1,1,-1,1,1,-1
14774,1,-1,1,1,1,-1,0,0,1,-1,-1,1,-1,0,0,-1,-1,1,0,-1,-1,-1,-1,1,1,-1,-1,-1,0,-1,-1
14275,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,0,-1,1,0,1,-1
20184,-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,0,0,0,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1
19202,-1,-1,-1,1,-1,-1,0,1,-1,1,1,-1,1,0,0,-1,1,-1,0,1,1,1,1,-1,-1,1,-1,-1,1,1,1
6475,1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1,-1,1,1,-1,1,0,1,1
3622,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,0,-1,-1,1,0,1,1,-1,1,-1,-1,0,-1,1,0,-1,-1
2151,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,0,1,1,1,0,1,1,1,1,-1,1,-1,-1,1,0,1,-1
15771,1,1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,0,1,-1
8073,-1,1,1,1,1,-1,1,0,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1
10805,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
5890,-1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,-1,0,-1,1,1,0,1,1,1,1,-1,1,0,1,1,0,1,-1
1400,1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1
21701,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,0,0,-1,1,0,-1,-1,-1,-1,1,1,1,-1,1,0,1,-1
16773,1,-1,1,-1,1,-1,0,0,1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,0,1,1,0,1,-1
3644,1,1,1,1,1,-1,0,0,-1,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,1,-1,0,-1,1,1,1,-1
1959,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,1,1,-1
6115,-1,-1,1,1,1,-1,0,-1,-1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,1,-1,1,-1,1,1,1,1,-1
14503,1,-1,1,1,1,-1,0,1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1
5538,-1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,1,0,1,1,0,-1,-1
16089,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,0,-1,1,1,0,1,1,1,1,-1,1,1,-1,-1,0,1,-1
19404,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1,0,-1,1,1,1,1,1,1,-1,-1,0,1,-1
6624,1,-1,1,1,1,-1,1,0,-1,1,1,1,1,-1,0,-1,1,1,0,1,1,1,1,-1,1,0,-1,1,0,1,-1
149,1,1,1,1,1,-1,1,1,-1,1,1,1,1,0,-1,1,-1,1,0,1,1,1,1,1,-1,0,-1,1,0,1,1
4967,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,1,-1,1,1,1,-1,1,1,1,0,-1,1,1,-1,1
7735,-1,-1,1,1,1,1,-1,1,-1,1,1,1,1,0,0,-1,1,1,0,1,1,1,1,-1,1,1,-1,1,-1,1,1
3703,1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,0,0,-1,1,1,0,1,1,-1,1,1,-1,0,1,1,1,1,1
6915,1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,1
14420,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,0,1,1
10114,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,0,1,-1,1,-1,1,1,1,1,1,1,-1,1,-1,1,0,1,1
13624,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,0,-1,1,1,0,1,1,1,1,1,-1,-1,-1,-1,1,1,-1
12634,1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1
16431,1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,0,0,1,1,0,1,1,1,1,-1,1,1,1,1,0,1,1
11800,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,0,1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,0,1,1
2486,1,-1,1,-1,1,-1,0,0,-1,1,1,1,1,-1,0,-1,1,1,0,1,1,1,1,1,1,-1,-1,1,0,1,-1
19689,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,-1,-1,1,0,1,1
17044,-1,-1,1,1,1,-1,0,-1,-1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,1,1,1,1,0,1,-1
